Date,rate_AMZN,rate_VOO,Sector,rate_BKNG,rate_F,rate_HD,rate_LULU,rate_MAR,rate_MCD,rate_NKE,rate_SBUX,rate_TSLA
2022-03-22,2.24,-2.68,Consumer Cyclical,-8.79,-19.58,-14.46,-11.42,5.03,-9.07,-13.47,-17.7,-6.44
2022-03-23,1.33,-3.9,Consumer Cyclical,-10.29,-21.5,-17.66,-12.69,3.25,-9.82,-13.52,-19.25,-5.97
2022-03-24,1.47,-2.83,Consumer Cyclical,-6.67,-20.8,-17.98,-10.67,5.89,-8.27,-14.12,-18.41,-4.61
2022-03-25,2.17,-2.35,Consumer Cyclical,-7.16,-22.48,-19.26,-9.74,5.61,-7.78,-13.08,-18.11,-4.91
2022-03-28,4.76,-1.69,Consumer Cyclical,-6.14,-21.55,-18.35,-6.8,5.64,-7.27,-12.36,-17.25,2.55
2022-03-29,4.96,-0.48,Consumer Cyclical,-2.77,-16.48,-17.49,-3.44,9.77,-5.31,-9.57,-14.6,3.26
2022-03-30,3.1,-1.09,Consumer Cyclical,-4.33,-18.73,-19.82,5.65,8.62,-4.99,-9.95,-14.78,2.75
2022-03-31,1.07,-2.57,Consumer Cyclical,-3.6,-20.42,-22.12,2.42,8.2,-5.65,-12.52,-14.84,1.24
2022-04-01,1.38,-2.24,Consumer Cyclical,-2.83,-21.0,-20.85,2.94,6.73,-4.76,-12.81,-13.93,1.83
2022-04-04,4.23,-1.45,Consumer Cyclical,-2.58,-20.96,-19.94,7.42,7.3,-5.64,-12.29,-17.0,7.26
2022-04-05,2.01,-2.62,Consumer Cyclical,-5.23,-24.86,-20.12,6.01,6.91,-5.02,-13.6,-20.66,2.36
2022-04-06,-0.72,-3.57,Consumer Cyclical,-7.84,-26.86,-21.72,4.07,2.21,-3.93,-16.11,-21.36,-1.76
2022-04-07,-1.23,-3.1,Consumer Cyclical,-8.15,-28.86,-20.66,6.08,1.31,-2.85,-15.46,-21.58,-0.72
2022-04-08,-2.95,-3.33,Consumer Cyclical,-9.72,-28.44,-18.55,3.43,0.83,-3.93,-16.25,-23.05,-3.59
2022-04-11,-4.67,-4.94,Consumer Cyclical,-9.66,-27.37,-19.66,3.23,-0.02,-4.3,-18.27,-23.83,-8.08
2022-04-12,-4.86,-5.28,Consumer Cyclical,-9.24,-26.99,-19.77,4.95,0.46,-4.78,-18.23,-24.66,-7.07
2022-04-13,-2.15,-4.23,Consumer Cyclical,-6.53,-26.29,-18.71,9.33,7.89,-3.97,-16.65,-23.61,-3.82
2022-04-14,-4.34,-5.37,Consumer Cyclical,-7.66,-26.43,-20.22,8.35,10.89,-4.28,-12.79,-24.93,-7.25
2022-04-18,-3.72,-5.35,Consumer Cyclical,-8.63,-25.54,-21.32,7.6,12.48,-4.07,-13.97,-24.83,-5.48
2022-04-19,-0.54,-3.88,Consumer Cyclical,-7.25,-23.27,-19.38,11.89,15.91,-2.45,-10.47,-23.32,-3.29
2022-04-20,-3.0,-3.95,Consumer Cyclical,-6.82,-23.74,-17.5,7.06,16.83,-2.28,-11.23,-24.3,-7.96
2022-04-21,-6.4,-5.34,Consumer Cyclical,-7.25,-25.4,-18.72,5.01,13.1,-2.5,-11.5,-25.43,-5.06
2022-04-22,-8.76,-7.86,Consumer Cyclical,-8.13,-28.09,-21.35,1.6,10.26,-4.41,-15.63,-26.4,-5.41
2022-04-25,-7.73,-7.37,Consumer Cyclical,-7.02,-27.8,-20.11,2.71,12.08,-3.39,-16.36,-26.34,-6.05
2022-04-26,-11.82,-9.95,Consumer Cyclical,-9.98,-30.08,-21.39,-1.38,8.9,-5.0,-21.15,-28.54,-17.21
2022-04-27,-12.57,-9.73,Consumer Cyclical,-6.57,-29.41,-20.97,-0.99,10.69,-5.54,-20.69,-29.38,-16.74
2022-04-28,-8.64,-7.52,Consumer Cyclical,-4.55,-30.5,-18.36,1.22,13.34,-2.9,-16.93,-27.65,-17.11
2022-04-29,-21.08,-10.83,Consumer Cyclical,-8.25,-32.68,-21.27,-0.83,9.06,-4.78,-18.45,-29.47,-17.73
2022-05-02,-20.35,-9.99,Consumer Cyclical,-8.59,-31.24,-19.03,0.78,9.17,-5.56,-17.06,-27.97,-14.36
2022-05-03,-20.5,-9.62,Consumer Cyclical,-11.82,-29.88,-19.55,-0.59,6.12,-5.85,-19.13,-28.94,-13.78
2022-05-04,-19.46,-6.99,Consumer Cyclical,-11.92,-27.9,-16.89,1.8,11.02,-2.71,-17.07,-22.12,-9.8
2022-05-05,-25.34,-10.13,Consumer Cyclical,-9.37,-30.02,-21.05,-3.81,8.88,-4.72,-21.84,-26.0,-17.07
2022-05-06,-26.35,-10.67,Consumer Cyclical,-8.54,-31.53,-22.28,-10.88,5.81,-4.03,-24.51,-26.89,-17.77
2022-05-09,-30.05,-13.43,Consumer Cyclical,-14.88,-35.48,-21.58,-17.37,0.62,-5.25,-26.61,-29.72,-24.97
2022-05-10,-30.0,-13.22,Consumer Cyclical,-14.09,-35.58,-23.11,-14.79,3.19,-5.93,-27.73,-31.26,-23.77
2022-05-11,-32.19,-14.58,Consumer Cyclical,-13.08,-38.05,-25.24,-17.75,2.51,-6.4,-28.75,-32.95,-29.9
2022-05-12,-31.21,-14.64,Consumer Cyclical,-13.79,-39.91,-23.49,-17.01,0.32,-6.49,-28.76,-33.11,-30.46
2022-05-13,-27.36,-12.68,Consumer Cyclical,-11.97,-34.86,-21.84,-12.82,2.17,-6.17,-25.44,-27.73,-26.59
2022-05-16,-28.77,-12.99,Consumer Cyclical,-14.05,-37.01,-21.85,-14.23,-0.3,-6.54,-25.71,-30.73,-30.79
2022-05-17,-25.89,-11.29,Consumer Cyclical,-10.31,-34.7,-20.56,-13.86,1.24,-7.46,-23.55,-29.5,-27.29
2022-05-18,-31.11,-14.71,Consumer Cyclical,-13.89,-38.3,-24.66,-23.01,-5.36,-11.46,-27.82,-31.81,-32.16
2022-05-19,-30.98,-15.27,Consumer Cyclical,-11.92,-37.97,-23.99,-23.37,-3.58,-12.24,-29.74,-31.19,-32.2
2022-05-20,-30.81,-15.25,Consumer Cyclical,-11.45,-39.64,-24.14,-22.59,-4.62,-10.38,-28.72,-29.81,-36.48
2022-05-23,-30.83,-13.68,Consumer Cyclical,-11.8,-38.06,-24.44,-22.92,-2.96,-8.83,-28.3,-29.78,-35.45
2022-05-24,-33.03,-14.29,Consumer Cyclical,-13.9,-40.03,-23.95,-27.17,-6.2,-6.36,-29.18,-30.45,-39.85
2022-05-25,-31.33,-13.59,Consumer Cyclical,-10.29,-38.64,-22.48,-26.3,-1.99,-6.55,-28.59,-30.67,-36.96
2022-05-26,-28.59,-11.92,Consumer Cyclical,-7.53,-36.67,-20.08,-18.86,4.48,-5.01,-25.49,-28.76,-32.36
2022-05-27,-26.01,-9.77,Consumer Cyclical,-5.88,-34.21,-18.61,-17.14,5.94,-3.58,-23.49,-26.65,-27.48
2022-05-31,-22.79,-10.26,Consumer Cyclical,-6.71,-33.97,-20.09,-17.41,5.34,-3.45,-21.62,-24.95,-27.6
2022-06-01,-21.24,-10.69,Consumer Cyclical,-6.71,-33.64,-20.94,-17.66,4.6,-4.43,-21.13,-26.31,-28.47
2022-06-02,-18.82,-9.06,Consumer Cyclical,-1.87,-32.01,-18.71,-14.21,6.9,-4.02,-18.06,-23.35,-25.22
2022-06-03,-20.83,-10.5,Consumer Cyclical,-3.19,-33.9,-18.92,-14.71,7.04,-4.78,-19.66,-23.7,-32.02
2022-06-06,-19.27,-10.26,Consumer Cyclical,-2.78,-34.09,-19.23,-14.48,8.83,-4.89,-20.14,-23.77,-30.94
2022-06-07,-20.42,-9.4,Consumer Cyclical,-3.52,-32.73,-19.78,-13.21,8.57,-4.56,-19.19,-23.3,-30.77
2022-06-08,-21.58,-10.37,Consumer Cyclical,-2.83,-33.75,-20.88,-12.78,6.15,-5.83,-18.71,-24.26,-29.92
2022-06-09,-24.8,-12.42,Consumer Cyclical,-5.29,-34.97,-20.28,-14.29,2.79,-7.13,-21.21,-23.84,-30.54
2022-06-10,-28.96,-14.93,Consumer Cyclical,-11.53,-37.56,-23.04,-17.26,-1.93,-8.95,-23.75,-26.95,-32.67
2022-06-13,-32.78,-18.12,Consumer Cyclical,-16.07,-42.14,-24.62,-20.86,-6.64,-8.53,-26.57,-30.13,-37.37
2022-06-14,-33.66,-18.32,Consumer Cyclical,-17.07,-40.24,-25.79,-20.33,-6.57,-8.42,-26.39,-30.18,-35.9
2022-06-15,-30.21,-17.18,Consumer Cyclical,-16.29,-39.89,-25.51,-18.88,-5.0,-8.37,-24.59,-28.37,-32.45
2022-06-16,-32.79,-19.83,Consumer Cyclical,-20.87,-44.88,-27.14,-22.87,-10.85,-9.78,-28.77,-31.48,-38.13
2022-06-17,-31.14,-19.62,Consumer Cyclical,-18.68,-44.98,-27.85,-20.99,-10.81,-10.08,-28.62,-30.6,-37.08
2022-06-21,-29.56,-17.71,Consumer Cyclical,-17.59,-43.85,-28.25,-21.45,-13.02,-8.11,-27.73,-29.55,-31.3
2022-06-22,-29.39,-17.88,Consumer Cyclical,-19.3,-43.75,-28.31,-21.06,-16.13,-6.79,-30.22,-29.23,-31.57
2022-06-23,-27.14,-17.04,Consumer Cyclical,-21.28,-43.36,-26.63,-18.71,-18.19,-6.6,-28.18,-27.4,-31.86
2022-06-24,-24.55,-14.53,Consumer Cyclical,-17.81,-41.16,-24.66,-16.77,-14.35,-4.96,-24.94,-24.61,-28.82
2022-06-27,-26.64,-14.84,Consumer Cyclical,-19.07,-41.02,-24.74,-18.4,-13.87,-5.29,-26.53,-25.02,-29.05
2022-06-28,-30.38,-16.63,Consumer Cyclical,-21.16,-42.14,-28.0,-20.87,-14.78,-6.88,-31.63,-26.31,-32.55
2022-06-29,-29.41,-16.92,Consumer Cyclical,-22.17,-43.56,-27.03,-19.64,-15.37,-5.02,-31.32,-26.22,-33.74
2022-06-30,-31.15,-17.56,Consumer Cyclical,-24.39,-45.47,-26.93,-22.51,-16.42,-5.34,-32.02,-26.26,-34.88
2022-07-01,-28.21,-16.28,Consumer Cyclical,-23.06,-43.33,-24.99,-24.39,-14.09,-2.96,-31.81,-22.87,-33.17
2022-07-05,-25.74,-16.14,Consumer Cyclical,-22.36,-43.91,-23.81,-18.94,-14.38,-3.2,-29.79,-22.62,-31.55
2022-07-06,-25.21,-15.85,Consumer Cyclical,-23.79,-44.59,-23.85,-19.84,-16.22,-3.52,-29.85,-23.25,-31.93
2022-07-07,-23.93,-14.65,Consumer Cyclical,-22.44,-41.67,-23.03,-16.94,-14.38,-2.96,-27.26,-22.89,-28.24
2022-07-08,-24.44,-14.7,Consumer Cyclical,-23.07,-41.82,-23.09,-16.19,-14.92,-2.84,-27.39,-22.85,-26.45
2022-07-11,-26.89,-15.64,Consumer Cyclical,-24.81,-43.46,-23.11,-19.45,-14.94,-2.83,-29.27,-24.18,-31.18
2022-07-12,-28.54,-16.4,Consumer Cyclical,-24.28,-42.11,-23.44,-20.11,-14.11,-3.51,-30.18,-24.31,-31.55
2022-07-13,-27.77,-16.77,Consumer Cyclical,-24.29,-42.36,-22.9,-19.67,-13.08,-3.06,-29.27,-24.16,-30.4
2022-07-14,-27.62,-16.99,Consumer Cyclical,-26.77,-42.96,-22.29,-20.22,-13.1,-3.08,-30.54,-23.89,-30.04
2022-07-15,-25.72,-15.46,Consumer Cyclical,-25.81,-40.52,-21.52,-18.15,-11.52,-2.17,-29.55,-22.52,-29.53
2022-07-18,-25.58,-16.14,Consumer Cyclical,-24.26,-40.12,-21.35,-18.64,-10.77,-3.15,-30.06,-21.93,-29.39
2022-07-19,-22.69,-13.93,Consumer Cyclical,-20.55,-36.97,-19.57,-15.37,-6.9,-1.6,-26.55,-19.68,-27.96
2022-07-20,-19.72,-13.4,Consumer Cyclical,-20.55,-36.27,-18.91,-13.56,-5.87,-2.33,-25.27,-18.99,-27.39
2022-07-21,-18.51,-12.55,Consumer Cyclical,-20.76,-34.92,-18.2,-12.28,-6.85,-2.75,-24.93,-18.73,-20.42
2022-07-22,-19.95,-13.32,Consumer Cyclical,-21.51,-35.82,-17.78,-13.08,-6.9,-2.56,-26.6,-18.68,-20.26
2022-07-25,-20.78,-13.24,Consumer Cyclical,-20.55,-35.72,-17.9,-13.97,-5.63,-3.93,-26.49,-20.7,-21.36
2022-07-26,-24.9,-14.25,Consumer Cyclical,-22.05,-37.22,-20.0,-18.99,-6.82,-1.38,-29.21,-21.85,-24.12
2022-07-27,-20.89,-12.07,Consumer Cyclical,-18.89,-33.97,-19.81,-15.58,-2.81,-0.7,-27.44,-19.29,-19.52
2022-07-28,-20.04,-10.99,Consumer Cyclical,-17.53,-29.92,-19.62,-13.26,-2.51,1.04,-24.52,-17.64,-17.77
2022-07-29,-11.79,-9.72,Consumer Cyclical,-16.65,-26.47,-19.27,-11.4,-2.07,1.0,-22.73,-17.53,-13.09
2022-08-01,-11.2,-9.72,Consumer Cyclical,-17.3,-22.61,-17.51,-11.23,-1.57,1.29,-22.53,-16.95,-12.71
2022-08-02,-11.8,-10.15,Consumer Cyclical,-15.86,-23.28,-18.52,-12.13,-2.17,0.39,-23.79,-17.81,-11.99
2022-08-03,-9.2,-9.12,Consumer Cyclical,-15.56,-21.3,-17.41,-10.12,-1.67,0.69,-22.54,-15.24,-10.53
2022-08-04,-7.73,-9.18,Consumer Cyclical,-16.12,-22.5,-17.25,-9.9,-1.83,0.27,-22.44,-15.52,-10.26
2022-08-05,-8.58,-9.31,Consumer Cyclical,-16.77,-22.76,-16.75,-9.61,-2.73,-0.13,-22.74,-16.35,-14.67
2022-08-08,-9.26,-9.37,Consumer Cyclical,-15.87,-20.97,-16.3,-9.94,-2.16,-0.82,-22.68,-16.36,-14.18
2022-08-09,-9.96,-9.62,Consumer Cyclical,-15.83,-22.99,-17.52,-11.81,-1.94,0.04,-24.48,-16.95,-15.6
2022-08-10,-7.8,-8.33,Consumer Cyclical,-13.96,-21.93,-16.37,-9.35,-0.9,0.38,-23.08,-15.85,-13.4
2022-08-11,-8.71,-8.33,Consumer Cyclical,-12.83,-20.8,-16.54,-9.79,-0.95,-0.17,-22.63,-15.33,-14.94
2022-08-12,-7.42,-7.26,Consumer Cyclical,-11.21,-19.59,-15.78,-8.89,0.29,0.59,-21.72,-14.63,-12.26
2022-08-15,-7.58,-6.98,Consumer Cyclical,-10.96,-19.11,-15.83,-7.22,-0.08,1.45,-21.61,-14.07,-10.4
2022-08-16,-6.89,-6.87,Consumer Cyclical,-10.36,-18.75,-13.58,-6.96,1.17,1.66,-20.83,-13.91,-10.93
2022-08-17,-8.05,-7.3,Consumer Cyclical,-10.97,-20.08,-13.87,-7.32,0.08,1.8,-21.28,-14.59,-11.43
2022-08-18,-7.96,-7.11,Consumer Cyclical,-10.55,-19.68,-13.96,-6.64,0.68,1.74,-21.75,-14.46,-11.64
2022-08-19,-9.71,-7.96,Consumer Cyclical,-12.15,-20.58,-14.65,-8.68,-0.82,1.72,-23.03,-15.52,-12.84
2022-08-22,-11.87,-9.24,Consumer Cyclical,-15.33,-23.25,-16.25,-10.02,-2.24,0.81,-24.3,-16.8,-14.14
2022-08-23,-11.7,-9.38,Consumer Cyclical,-14.77,-22.44,-17.19,-9.89,-1.94,0.2,-24.14,-16.96,-12.86
2022-08-24,-11.62,-9.2,Consumer Cyclical,-14.83,-21.76,-16.97,-9.53,-1.41,0.28,-23.81,-16.08,-12.73
2022-08-25,-10.1,-8.33,Consumer Cyclical,-14.34,-20.38,-16.68,-8.49,-0.29,0.71,-22.99,-15.21,-12.93
2022-08-26,-12.95,-10.4,Consumer Cyclical,-17.03,-22.13,-18.74,-10.76,-2.74,-0.71,-25.23,-17.37,-14.49
2022-08-29,-13.37,-10.79,Consumer Cyclical,-17.37,-21.59,-19.06,-11.48,-3.14,-1.04,-25.42,-17.33,-15.13
2022-08-30,-13.84,-11.42,Consumer Cyclical,-17.88,-22.0,-19.64,-11.56,-4.12,-1.59,-25.43,-17.8,-16.53
2022-08-31,-14.71,-11.87,Consumer Cyclical,-18.0,-22.7,-20.49,-12.91,-3.95,-1.9,-26.07,-17.37,-16.95
2022-09-01,-13.88,-11.4,Consumer Cyclical,-18.16,-22.28,-19.09,-13.6,-3.77,-0.81,-25.38,-16.08,-16.21
2022-09-02,-14.01,-11.98,Consumer Cyclical,-18.55,-22.38,-19.35,-9.95,-3.65,-1.3,-25.72,-17.64,-17.55
2022-09-06,-14.61,-12.17,Consumer Cyclical,-19.17,-22.81,-19.76,-7.42,-4.4,-1.33,-25.98,-16.63,-16.74
2022-09-07,-12.75,-10.9,Consumer Cyclical,-17.24,-21.13,-17.97,-5.32,-1.71,-0.05,-24.08,-13.57,-14.46
2022-09-08,-12.54,-10.38,Consumer Cyclical,-16.01,-20.94,-17.37,-3.04,-0.7,0.53,-23.92,-12.54,-12.95
2022-09-09,-10.42,-9.13,Consumer Cyclical,-13.25,-21.17,-17.4,-2.31,0.98,0.34,-22.5,-13.23,-10.12
2022-09-12,-8.47,-8.23,Consumer Cyclical,-12.06,-20.62,-17.95,-1.27,1.79,0.63,-21.6,-12.89,-8.83
2022-09-13,-14.64,-12.01,Consumer Cyclical,-15.77,-24.52,-23.04,-5.36,-1.71,-1.58,-26.03,-14.04,-12.34
2022-09-14,-13.53,-11.7,Consumer Cyclical,-13.91,-24.91,-23.45,-3.87,1.05,-1.07,-25.18,-9.5,-9.35
2022-09-15,-14.98,-12.63,Consumer Cyclical,-14.33,-23.79,-24.7,-5.02,1.03,-1.9,-26.17,-9.95,-9.02
2022-09-16,-16.74,-13.28,Consumer Cyclical,-17.55,-24.62,-23.55,-6.44,-3.47,-1.37,-27.09,-10.8,-9.14
2022-09-19,-16.02,-12.65,Consumer Cyclical,-16.49,-23.59,-22.4,-5.42,-2.02,-0.6,-25.04,-10.02,-7.5
2022-09-20,-17.64,-13.61,Consumer Cyclical,-16.74,-32.78,-24.06,-6.92,-2.23,-1.2,-28.3,-11.31,-7.6
2022-09-21,-20.04,-15.08,Consumer Cyclical,-20.35,-32.98,-24.75,-10.58,-7.6,-2.81,-30.09,-13.4,-9.92
2022-09-22,-20.84,-15.78,Consumer Cyclical,-23.8,-34.38,-25.4,-13.79,-12.48,-3.99,-30.94,-17.11,-13.48
2022-09-23,-23.16,-17.14,Consumer Cyclical,-25.84,-36.68,-24.92,-17.35,-14.08,-4.73,-31.98,-17.62,-17.35
2022-09-26,-22.26,-17.92,Consumer Cyclical,-25.86,-38.28,-26.08,-16.95,-14.84,-5.55,-32.63,-17.01,-17.15
2022-09-27,-22.75,-18.14,Consumer Cyclical,-25.87,-38.69,-25.51,-15.71,-13.33,-8.23,-32.47,-17.52,-15.11
2022-09-28,-20.37,-16.92,Consumer Cyclical,-23.55,-37.32,-21.87,-12.91,-10.18,-8.14,-30.81,-14.79,-13.67
2022-09-29,-22.5,-18.62,Consumer Cyclical,-25.47,-40.92,-22.91,-15.42,-12.21,-9.11,-33.14,-15.31,-19.46
2022-09-30,-23.69,-19.84,Consumer Cyclical,-26.91,-42.28,-23.56,-21.11,-12.44,-10.5,-41.58,-17.54,-20.33
2022-10-03,-21.23,-17.32,Consumer Cyclical,-24.84,-39.89,-20.93,-17.22,-11.73,-8.53,-39.0,-15.82,-26.4
2022-10-04,-17.78,-14.89,Consumer Cyclical,-21.7,-35.36,-19.35,-12.9,-7.6,-7.34,-36.75,-13.05,-24.33
2022-10-05,-17.87,-15.03,Consumer Cyclical,-22.97,-34.6,-19.27,-12.28,-7.84,-7.12,-35.05,-11.51,-26.87
2022-10-06,-18.3,-15.9,Consumer Cyclical,-23.63,-35.36,-19.13,-12.17,-9.74,-8.75,-35.69,-12.25,-27.66
2022-10-07,-22.11,-18.18,Consumer Cyclical,-24.59,-36.18,-20.76,-15.54,-11.31,-9.34,-37.78,-14.47,-32.09
2022-10-10,-22.7,-18.77,Consumer Cyclical,-25.13,-40.45,-21.26,-17.84,-11.92,-8.68,-38.11,-14.44,-32.12
